"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 16 09:37:22 GMT 2024","Wed Oct 16 09:37:22 GMT 2024","42","","ITCompanySuite","","","","[GetById] Успех",""
"passed","Wed Oct 16 09:37:05 GMT 2024","Wed Oct 16 09:37:05 GMT 2024","9","","UserSuite","","","","[ClassicUserUpdate] Ошибка выполнения запроса в репозитории",""
"passed","Wed Oct 16 09:36:59 GMT 2024","Wed Oct 16 09:36:59 GMT 2024","14","","StorageCompanySuite","","","","[CompanyUpdate] Успешно",""
"passed","Wed Oct 16 09:37:22 GMT 2024","Wed Oct 16 09:37:22 GMT 2024","35","","ITFinReportSuite","","","","[GetById] Несуществующий отчет",""
"passed","Wed Oct 16 09:36:59 GMT 2024","Wed Oct 16 09:36:59 GMT 2024","32","","StorageFinReportSuite","","","","[FinReportDeleteById] Ошибка выполнения запроса в репозитории",""
"passed","Wed Oct 16 09:37:05 GMT 2024","Wed Oct 16 09:37:05 GMT 2024","3","","ActFieldSuite","","","","[ActFieldDeleteById] Ошибка выполнения запроса в репозитории",""
"passed","Wed Oct 16 09:37:22 GMT 2024","Wed Oct 16 09:37:22 GMT 2024","41","","ITFinReportSuite","","","","[GetById] Успех",""
"passed","Wed Oct 16 09:36:59 GMT 2024","Wed Oct 16 09:36:59 GMT 2024","13","","StorageCompanySuite","","","","[CompanyGetByOwnerId] Успешно",""
"passed","Wed Oct 16 09:37:05 GMT 2024","Wed Oct 16 09:37:05 GMT 2024","4","","UserSuite","","","","[UserGetById] Ошибка получения данных в репозитории",""
"passed","Wed Oct 16 09:37:22 GMT 2024","Wed Oct 16 09:37:22 GMT 2024","45","","ITFinReportSuite","","","","[GetByCompany] Успех",""
"passed","Wed Oct 16 09:37:05 GMT 2024","Wed Oct 16 09:37:05 GMT 2024","10","","CompanySuite","","","","[CompanyCreate] Успех",""
"passed","Wed Oct 16 09:37:22 GMT 2024","Wed Oct 16 09:37:22 GMT 2024","25","","ITUserSuite","","","","[GetByUsername] Успех",""
"passed","Wed Oct 16 09:36:59 GMT 2024","Wed Oct 16 09:36:59 GMT 2024","4","","StorageFinReportSuite","","","","[FinReportDeleteById] Успешно",""
"passed","Wed Oct 16 09:37:05 GMT 2024","Wed Oct 16 09:37:05 GMT 2024","4","","UserSuite","","","","[UserUpdate] Успех",""
"passed","Wed Oct 16 09:37:22 GMT 2024","Wed Oct 16 09:37:22 GMT 2024","32","","ITUserSuite","","","","[Update] Успех",""
"passed","Wed Oct 16 09:36:59 GMT 2024","Wed Oct 16 09:36:59 GMT 2024","34","","StorageUserSuite","","","","[UserGetById] Успех",""
"passed","Wed Oct 16 09:36:59 GMT 2024","Wed Oct 16 09:36:59 GMT 2024","32","","StorageCompanySuite","","","","[CompanyGetById] Ошибка получения данных в репозитории",""
"passed","Wed Oct 16 09:36:59 GMT 2024","Wed Oct 16 09:36:59 GMT 2024","33","","StorageCompanySuite","","","","[CompanyCreate] Успех",""
"passed","Wed Oct 16 09:36:59 GMT 2024","Wed Oct 16 09:36:59 GMT 2024","8","","StorageUserSuite","","","","[UserGetById] Ошибка получения данных в репозитории",""
"passed","Wed Oct 16 09:37:05 GMT 2024","Wed Oct 16 09:37:05 GMT 2024","11","","CompanySuite","","","","[ClassicCompanyCreate] Пустое название компании",""
"passed","Wed Oct 16 09:36:59 GMT 2024","Wed Oct 16 09:36:59 GMT 2024","29","","StorageCompanySuite","","","","[CompanyDeleteById] Ошибка выполнения запроса в репозитории",""
"passed","Wed Oct 16 09:37:05 GMT 2024","Wed Oct 16 09:37:05 GMT 2024","11","","CompanySuite","","","","[CompanyCreate] Пустое название компании",""
"passed","Wed Oct 16 09:37:05 GMT 2024","Wed Oct 16 09:37:05 GMT 2024","5","","UserSuite","","","","[UserDeleteById] Ошибка выполнения запроса в репозитории",""
"passed","Wed Oct 16 09:37:22 GMT 2024","Wed Oct 16 09:37:22 GMT 2024","36","","ITActFieldSuite","","","","[DeleteById] Успех",""
"passed","Wed Oct 16 09:36:59 GMT 2024","Wed Oct 16 09:36:59 GMT 2024","2","","StorageAuthSuite","","","","[AuthLogin] Success",""
"passed","Wed Oct 16 09:36:59 GMT 2024","Wed Oct 16 09:36:59 GMT 2024","19","","StorageUserSuite","","","","[UserDeleteById] Ошибка выполнения запроса в репозитории",""
"passed","Wed Oct 16 09:37:05 GMT 2024","Wed Oct 16 09:37:05 GMT 2024","1","","AuthSuite","","","","[AuthLogin] Success",""
"passed","Wed Oct 16 09:37:22 GMT 2024","Wed Oct 16 09:37:22 GMT 2024","44","","ITCompanySuite","","","","[GetByOwnerId] Успех",""
"passed","Wed Oct 16 09:37:05 GMT 2024","Wed Oct 16 09:37:05 GMT 2024","11","","CompanySuite","","","","[ClassicCompanyDeleteById] Ошибка выполнения запроса в репозитории",""
