"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 16 09:42:29 GMT 2024","Wed Oct 16 09:42:29 GMT 2024","4","","ITActFieldSuite","","","","[GetMaxCost] Успех",""
"passed","Wed Oct 16 09:42:29 GMT 2024","Wed Oct 16 09:42:29 GMT 2024","46","","ITFinReportSuite","","","","[Create] Успех",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","14","","StorageActFieldSuite","","","","[ActFieldUpdate] Ошибка выполнения запроса в репозитории",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","5","","UserSuite","","","","[UserDeleteById] Ошибка выполнения запроса в репозитории",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","8","","CompanySuite","","","","[CompanyGetByOwnerId] Ошибка получения данных в репозитории",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","5","","StorageUserSuite","","","","[UserDeleteById] Ошибка выполнения запроса в репозитории",""
"passed","Wed Oct 16 09:42:29 GMT 2024","Wed Oct 16 09:42:29 GMT 2024","18","","ITUserSuite","","","","[GetById] Несуществующий пользователь",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","8","","StorageFinReportSuite","","","","[FinReportCreate] Отрицательная выручка",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","13","","StorageCompanySuite","","","","[CompanyGetAll] Успешно",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","7","","ActFieldSuite","","","","[ActFieldCreate] Успех",""
"passed","Wed Oct 16 09:42:29 GMT 2024","Wed Oct 16 09:42:29 GMT 2024","47","","ITFinReportSuite","","","","[GetByCompany] Успех",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","2","","FinReportSuite","","","","[FinReportGetById] Ошибка получения данных в репозитории",""
"passed","Wed Oct 16 09:42:29 GMT 2024","Wed Oct 16 09:42:29 GMT 2024","36","","ITCompanySuite","","","","[Create] Успех",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","11","","StorageCompanySuite","","","","[CompanyCreate] Пустое название компании",""
"passed","Wed Oct 16 09:42:29 GMT 2024","Wed Oct 16 09:42:29 GMT 2024","38","","ITAuthSuite","","","","[GetByUsername] Успех",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","10","","CompanySuite","","","","[CompanyGetByOwnerId] Успешно",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","3","","AuthSuite","","","","[AuthLogin] Success",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","14","","StorageUserSuite","","","","[UserGetAll] Успех",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","14","","StorageUserSuite","","","","[UserUpdate] Ошибка выполнения запроса в репозитории",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","4","","CompanySuite","","","","[CompanyGetById] Успешно",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","5","","ActFieldSuite","","","","[ActFieldUpdate] Успех",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","0","","UserSuite","","","","[UserUpdate] Успех",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","10","","StorageFinReportSuite","","","","[FinReportCreate] Успех",""
"passed","Wed Oct 16 09:42:29 GMT 2024","Wed Oct 16 09:42:29 GMT 2024","36","","ITUserSuite","","","","[Update] Успех",""
"passed","Wed Oct 16 09:42:29 GMT 2024","Wed Oct 16 09:42:29 GMT 2024","43","","ITFinReportSuite","","","","[Update] Успех",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","2","","FinReportSuite","","","","[FinReportUpdate] Успешно",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","5","","ActFieldSuite","","","","[ActFieldGetById] Ошибка получения данных в репозитории",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","4","","AuthSuite","","","","[AuthLogin] Success",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","11","","StorageCompanySuite","","","","[CompanyGetByOwnerId] Ошибка получения данных в репозитории",""
"passed","Wed Oct 16 09:42:29 GMT 2024","Wed Oct 16 09:42:29 GMT 2024","41","","ITFinReportSuite","","","","[GetById] Несуществующий отчет",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","6","","StorageActFieldSuite","","","","[ActFieldUpdate] Успех",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","3","","ActFieldSuite","","","","[ActFieldUpdate] Ошибка выполнения запроса в репозитории",""
"passed","Wed Oct 16 09:42:29 GMT 2024","Wed Oct 16 09:42:29 GMT 2024","49","","ITActFieldSuite","","","","[DeleteById] Успех",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","2","","FinReportSuite","","","","[FinReportDeleteById] Ошибка выполнения запроса в репозитории",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","2","","UserSuite","","","","[UserUpdate] Ошибка выполнения запроса в репозитории",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","6","","StorageActFieldSuite","","","","[ActFieldCreate] Успех",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","9","","FinReportSuite","","","","[FinReportCreate] Успех",""
"passed","Wed Oct 16 09:42:35 GMT 2024","Wed Oct 16 09:42:37 GMT 2024","1895","","E2ESuite","","","","[e2e] Test2",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","5","","StorageActFieldSuite","","","","[ActFieldCreate] Ошибка в репозитории",""
"passed","Wed Oct 16 09:42:29 GMT 2024","Wed Oct 16 09:42:29 GMT 2024","29","","ITCompanySuite","","","","[GetById] Успех",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","11","","StorageCompanySuite","","","","[CompanyUpdate] Успешно",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","2","","CompanySuite","","","","[CompanyUpdate] Успешно",""
"passed","Wed Oct 16 09:42:29 GMT 2024","Wed Oct 16 09:42:29 GMT 2024","33","","ITUserSuite","","","","[DeleteById] Успех",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","3","","FinReportSuite","","","","[FinReportUpdate] Ошибка выполнения запроса в репозитории",""
"passed","Wed Oct 16 09:42:29 GMT 2024","Wed Oct 16 09:42:29 GMT 2024","43","","ITFinReportSuite","","","","[Create] Несуществующий id компании",""
"passed","Wed Oct 16 09:42:29 GMT 2024","Wed Oct 16 09:42:29 GMT 2024","38","","ITAuthSuite","","","","[Register] Успех",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","11","","StorageCompanySuite","","","","[CompanyDeleteById] Успешно",""
"passed","Wed Oct 16 09:42:29 GMT 2024","Wed Oct 16 09:42:29 GMT 2024","45","","ITFinReportSuite","","","","[GetById] Успех",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","7","","UserSuite","","","","[ClassicUserUpdate] Успех",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","6","","StorageCompanySuite","","","","[CompanyGetById] Ошибка получения данных в репозитории",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","12","","StorageActFieldSuite","","","","[ActFieldGetById] Успех",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","4","","FinReportSuite","","","","[FinReportGetByCompany] Год начала периода больше года конца периода",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","17","","StorageCompanySuite","","","","[CompanyGetAll] Ошибка получения данных в репозитории",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","7","","StorageUserSuite","","","","[UserGetById] Успех",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","3","","CompanySuite","","","","[CompanyGetAll] Ошибка получения данных в репозитории",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","10","","UserSuite","","","","[ClassicUserUpdate] Ошибка выполнения запроса в репозитории",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","3","","ActFieldSuite","","","","[ActFieldDeleteById] Успех",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","12","","StorageCompanySuite","","","","[CompanyCreate] Успех",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","2","","CompanySuite","","","","[CompanyCreate] Пустое название компании",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","1","","CompanySuite","","","","[CompanyCreate] Успех",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","3","","StorageFinReportSuite","","","","[FinReportDeleteById] Ошибка выполнения запроса в репозитории",""
"passed","Wed Oct 16 09:42:29 GMT 2024","Wed Oct 16 09:42:29 GMT 2024","36","","ITAuthSuite","","","","[Register] Неуникальное имя пользователя",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","17","","StorageUserSuite","","","","[UserGetAll] Ошибка получения данных в репозитории",""
"passed","Wed Oct 16 09:42:29 GMT 2024","Wed Oct 16 09:42:29 GMT 2024","39","","ITFinReportSuite","","","","[GetById] Успех",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","2","","CompanySuite","","","","[ClassicCompanyCreate] Пустое название компании",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","10","","StorageFinReportSuite","","","","[FinReportDeleteById] Успешно",""
"passed","Wed Oct 16 09:42:29 GMT 2024","Wed Oct 16 09:42:29 GMT 2024","49","","ITUserSuite","","","","[GetById] Успех",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","1","","StorageAuthSuite","","","","[AuthRegister] Fail",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","9","","StorageFinReportSuite","","","","[FinReportUpdate] Ошибка выполнения запроса в репозитории",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","5","","StorageActFieldSuite","","","","[ActFieldDeleteById] Ошибка выполнения запроса в репозитории",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","4","","UserSuite","","","","[UserGetAll] Ошибка получения данных в репозитории",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","1","","FinReportSuite","","","","[FinReportGetById] Успешно",""
"passed","Wed Oct 16 09:42:29 GMT 2024","Wed Oct 16 09:42:29 GMT 2024","36","","ITCompanySuite","","","","[GetByOwnerId] Успех",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","4","","StorageAuthSuite","","","","[AuthLogin] Success",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","6","","CompanySuite","","","","[CompanyGetAll] Успешно",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","9","","CompanySuite","","","","[ClassicCompanyDeleteById] Ошибка выполнения запроса в репозитории",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","20","","StorageCompanySuite","","","","[CompanyGetById] Успешно",""
"passed","Wed Oct 16 09:42:29 GMT 2024","Wed Oct 16 09:42:29 GMT 2024","36","","ITAuthSuite","","","","[GetByUsername] Не найден",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","2","","ActFieldSuite","","","","[ActFieldGetById] Успех",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","2","","CompanySuite","","","","[CompanyGetById] Ошибка получения данных в репозитории",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","7","","CompanySuite","","","","[CompanyDeleteById] Успешно",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","19","","StorageFinReportSuite","","","","[FinReportGetByCompany] Успешно",""
"passed","Wed Oct 16 09:42:29 GMT 2024","Wed Oct 16 09:42:29 GMT 2024","35","","ITActFieldSuite","","","","[Update] Успех",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","15","","StorageUserSuite","","","","[UserGetById] Ошибка получения данных в репозитории",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","5","","StorageActFieldSuite","","","","[ActFieldDeleteById] Успех",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","7","","FinReportSuite","","","","[FinReportDeleteById] Успешно",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","1","","UserSuite","","","","[UserDeleteById] Успех",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","0","","AuthSuite","","","","[AuthRegister] Fail",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","20","","StorageCompanySuite","","","","[CompanyGetByOwnerId] Успешно",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","3","","UserSuite","","","","[UserGetById] Ошибка получения данных в репозитории",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","13","","StorageUserSuite","","","","[UserUpdate] Успех",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","2","","StorageUserSuite","","","","[UserDeleteById] Успех",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","10","","CompanySuite","","","","[CompanyUpdate] Ошибка выполнения запроса в репозитории",""
"passed","Wed Oct 16 09:42:29 GMT 2024","Wed Oct 16 09:42:29 GMT 2024","29","","ITCompanySuite","","","","[GetById] Несуществующая компания",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","6","","StorageFinReportSuite","","","","[FinReportGetById] Успешно",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","3","","CompanySuite","","","","[ClassicCompanyDeleteById] Успех",""
"passed","Wed Oct 16 09:42:29 GMT 2024","Wed Oct 16 09:42:29 GMT 2024","22","","ITUserSuite","","","","[GetByUsername] Успех",""
"passed","Wed Oct 16 09:42:29 GMT 2024","Wed Oct 16 09:42:29 GMT 2024","33","","ITActFieldSuite","","","","[Create] Успех",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","5","","StorageFinReportSuite","","","","[FinReportGetById] Ошибка получения данных в репозитории",""
"passed","Wed Oct 16 09:42:29 GMT 2024","Wed Oct 16 09:42:29 GMT 2024","26","","ITCompanySuite","","","","[Update] Успех",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","4","","FinReportSuite","","","","[FinReportCreate] Отрицательная выручка",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","10","","UserSuite","","","","[UserGetById] Успех",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","6","","FinReportSuite","","","","[FinReportGetByCompany] Успешно",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","5","","ActFieldSuite","","","","[ActFieldCreate] Ошибка в репозитории",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","11","","StorageFinReportSuite","","","","[FinReportUpdate] Успешно",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","7","","StorageFinReportSuite","","","","[FinReportGetByCompany] Год начала периода больше года конца периода",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","4","","StorageActFieldSuite","","","","[ActFieldGetById] Ошибка получения данных в репозитории",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","16","","StorageCompanySuite","","","","[CompanyDeleteById] Ошибка выполнения запроса в репозитории",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","4","","UserSuite","","","","[UserGetAll] Успех",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","9","","CompanySuite","","","","[CompanyDeleteById] Ошибка выполнения запроса в репозитории",""
"passed","Wed Oct 16 09:42:29 GMT 2024","Wed Oct 16 09:42:29 GMT 2024","32","","ITCompanySuite","","","","[Create] Несуществующий пользователь",""
"passed","Wed Oct 16 09:42:17 GMT 2024","Wed Oct 16 09:42:17 GMT 2024","1","","StorageCompanySuite","","","","[CompanyUpdate] Ошибка выполнения запроса в репозитории",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","4","","ActFieldSuite","","","","[ActFieldDeleteById] Ошибка выполнения запроса в репозитории",""
"passed","Wed Oct 16 09:42:18 GMT 2024","Wed Oct 16 09:42:18 GMT 2024","4","","ActFieldSuite","","","","[ActFieldCreate] Пустое название сферы деятельности",""
