"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:59 GMT 2024","10","","CompanySuite","","","","[CompanyGetAll] Ошибка получения данных в репозитории",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","2","","StorageFinReportSuite","","","","[FinReportDeleteById] Успешно",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","16","","StorageUserSuite","","","","[UserGetAll] Успех",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","4","","FinReportSuite","","","","[FinReportGetById] Ошибка получения данных в репозитории",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","3","","CompanySuite","","","","[CompanyGetById] Ошибка получения данных в репозитории",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:59 GMT 2024","10","","FinReportSuite","","","","[FinReportGetByCompany] Год начала периода больше года конца периода",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","6","","FinReportSuite","","","","[FinReportGetById] Успешно",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:59 GMT 2024","6","","CompanySuite","","","","[CompanyCreate] Пустое название компании",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","1","","ActFieldSuite","","","","[ActFieldCreate] Успех",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","1","","UserSuite","","","","[UserDeleteById] Успех",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","6","","UserSuite","","","","[UserUpdate] Успех",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","8","","StorageFinReportSuite","","","","[FinReportUpdate] Ошибка выполнения запроса в репозитории",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","4","","StorageActFieldSuite","","","","[ActFieldGetById] Ошибка получения данных в репозитории",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","1","","StorageAuthSuite","","","","[AuthLogin] Success",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","6","","StorageActFieldSuite","","","","[ActFieldDeleteById] Успех",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","14","","StorageActFieldSuite","","","","[ActFieldUpdate] Ошибка выполнения запроса в репозитории",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","10","","StorageCompanySuite","","","","[CompanyCreate] Пустое название компании",""
"passed","Sun Oct 13 11:55:17 GMT 2024","Sun Oct 13 11:55:17 GMT 2024","41","","ITCompanySuite","","","","[GetById] Несуществующая компания",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","9","","StorageActFieldSuite","","","","[ActFieldDeleteById] Ошибка выполнения запроса в репозитории",""
"passed","Sun Oct 13 11:55:17 GMT 2024","Sun Oct 13 11:55:17 GMT 2024","27","","ITFinReportSuite","","","","[GetById] Несуществующий отчет",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","15","","StorageCompanySuite","","","","[CompanyUpdate] Ошибка выполнения запроса в репозитории",""
"passed","Sun Oct 13 11:55:17 GMT 2024","Sun Oct 13 11:55:17 GMT 2024","42","","ITUserSuite","","","","[GetByUsername] Успех",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:59 GMT 2024","11","","UserSuite","","","","[ClassicUserUpdate] Ошибка выполнения запроса в репозитории",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","13","","StorageCompanySuite","","","","[CompanyUpdate] Успешно",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","1","","UserSuite","","","","[UserGetById] Успех",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:59 GMT 2024","8","","CompanySuite","","","","[CompanyDeleteById] Ошибка выполнения запроса в репозитории",""
"passed","Sun Oct 13 11:55:17 GMT 2024","Sun Oct 13 11:55:17 GMT 2024","8","","ITCompanySuite","","","","[Create] Несуществующий пользователь",""
"passed","Sun Oct 13 11:55:17 GMT 2024","Sun Oct 13 11:55:17 GMT 2024","25","","ITFinReportSuite","","","","[Update] Успех",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:59 GMT 2024","6","","CompanySuite","","","","[ClassicCompanyCreate] Пустое название компании",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","10","","StorageFinReportSuite","","","","[FinReportGetById] Успешно",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:59 GMT 2024","11","","FinReportSuite","","","","[FinReportUpdate] Ошибка выполнения запроса в репозитории",""
"passed","Sun Oct 13 11:55:17 GMT 2024","Sun Oct 13 11:55:17 GMT 2024","26","","ITFinReportSuite","","","","[GetById] Успех",""
"passed","Sun Oct 13 11:55:17 GMT 2024","Sun Oct 13 11:55:17 GMT 2024","38","","ITActFieldSuite","","","","[DeleteById] Успех",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","6","","UserSuite","","","","[UserGetById] Ошибка получения данных в репозитории",""
"passed","Sun Oct 13 11:55:17 GMT 2024","Sun Oct 13 11:55:17 GMT 2024","30","","ITFinReportSuite","","","","[Create] Несуществующий id компании",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","10","","StorageUserSuite","","","","[UserGetById] Успех",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:59 GMT 2024","12","","UserSuite","","","","[UserUpdate] Ошибка выполнения запроса в репозитории",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:59 GMT 2024","6","","CompanySuite","","","","[CompanyCreate] Успех",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:59 GMT 2024","10","","UserSuite","","","","[UserDeleteById] Ошибка выполнения запроса в репозитории",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:59 GMT 2024","10","","FinReportSuite","","","","[FinReportDeleteById] Успешно",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","7","","StorageFinReportSuite","","","","[FinReportGetById] Ошибка получения данных в репозитории",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","11","","StorageUserSuite","","","","[UserUpdate] Успех",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","2","","UserSuite","","","","[UserGetAll] Ошибка получения данных в репозитории",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","2","","ActFieldSuite","","","","[ActFieldUpdate] Успех",""
"passed","Sun Oct 13 11:55:17 GMT 2024","Sun Oct 13 11:55:17 GMT 2024","14","","ITAuthSuite","","","","[Register] Успех",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","14","","StorageCompanySuite","","","","[CompanyCreate] Успех",""
"passed","Sun Oct 13 11:55:17 GMT 2024","Sun Oct 13 11:55:17 GMT 2024","37","","ITActFieldSuite","","","","[Update] Успех",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","3","","FinReportSuite","","","","[FinReportUpdate] Успешно",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:59 GMT 2024","9","","ActFieldSuite","","","","[ActFieldGetById] Ошибка получения данных в репозитории",""
"passed","Sun Oct 13 11:55:22 GMT 2024","Sun Oct 13 11:55:22 GMT 2024","7","","E2ESuite","","","","[e2e] Test",""
"passed","Sun Oct 13 11:55:17 GMT 2024","Sun Oct 13 11:55:17 GMT 2024","15","","ITUserSuite","","","","[Update] Успех",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:59 GMT 2024","9","","CompanySuite","","","","[CompanyUpdate] Ошибка выполнения запроса в репозитории",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","9","","StorageFinReportSuite","","","","[FinReportGetByCompany] Успешно",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:59 GMT 2024","10","","ActFieldSuite","","","","[ActFieldUpdate] Ошибка выполнения запроса в репозитории",""
"passed","Sun Oct 13 11:55:17 GMT 2024","Sun Oct 13 11:55:17 GMT 2024","11","","ITCompanySuite","","","","[Update] Успех",""
"passed","Sun Oct 13 11:55:17 GMT 2024","Sun Oct 13 11:55:17 GMT 2024","37","","ITFinReportSuite","","","","[GetById] Успех",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:59 GMT 2024","12","","ActFieldSuite","","","","[ActFieldDeleteById] Ошибка выполнения запроса в репозитории",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","9","","StorageUserSuite","","","","[UserGetAll] Ошибка получения данных в репозитории",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","14","","StorageActFieldSuite","","","","[ActFieldUpdate] Успех",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:59 GMT 2024","11","","FinReportSuite","","","","[FinReportCreate] Отрицательная выручка",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","15","","StorageCompanySuite","","","","[CompanyGetById] Успешно",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","7","","StorageFinReportSuite","","","","[FinReportDeleteById] Ошибка выполнения запроса в репозитории",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","9","","StorageUserSuite","","","","[UserDeleteById] Ошибка выполнения запроса в репозитории",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","8","","StorageFinReportSuite","","","","[FinReportGetByCompany] Год начала периода больше года конца периода",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","3","","AuthSuite","","","","[AuthRegister] Fail",""
"passed","Sun Oct 13 11:55:17 GMT 2024","Sun Oct 13 11:55:17 GMT 2024","19","","ITCompanySuite","","","","[Create] Успех",""
"passed","Sun Oct 13 11:54:58 GMT 2024","Sun Oct 13 11:54:58 GMT 2024","4","","StorageCompanySuite","","","","[CompanyGetById] Ошибка получения данных в репозитории",""
